time,track,range,angle,rangerate,latrate,power
0.026093006134,60,20.1,-30.2,-9.07,-0.5,5
0.026093006134,56,24.2,11.4,-10.22,1.75,1
0.0969429016113,10,12.2,21.4,-9.74,-0.5,3
0.0969429016113,20,62.5,8.9,-3.27,-5.0,10
0.0969429016113,21,74.5,3.9,-3.12,-1.0,10
0.0969429016113,25,91.4,7.1,-3.25,-1.25,10
0.0969429016113,46,72.8,3.6,-10.37,3.25,10
0.0969429016113,51,27.6,-37.6,-1.59,-8.0,10
0.0969429016113,44,7.7,36.1,-8.3,-0.75,10
0.0969429016113,28,15.4,-14.0,-2.68,-1.25,13
0.0969429016113,29,46.9,-18.4,-9.91,0.0,10
0.0969429016113,53,29.9,-44.1,-1.31,-3.0,10
0.0969429016113,60,19.1,-33.4,-8.8,-0.25,4
0.0969429016113,55,18.5,-5.8,-2.93,-0.75,10
0.0969429016113,3,45.2,2.0,-3.12,-3.5,4
0.0969429016113,63,13.2,17.1,-9.87,-1.0,10
0.0969429016113,15,75.2,3.9,-3.18,-1.25,10
0.0969429016113,31,13.9,-15.6,-2.54,-3.75,10
0.14691901207,20,63.1,10.6,-3.29,-5.5,18
0.14691901207,51,27.6,-39.1,-1.54,-8.0,17
0.14691901207,43,43.0,15.3,-3.3,-0.25,13
0.14691901207,41,28.5,21.3,-2.37,-8.0,10
0.14691901207,3,45.7,3.4,-3.18,-3.0,4
0.14691901207,15,75.6,3.4,-3.2,-2.5,12
0.196943998337,20,63.1,8.7,-3.28,-6.75,20
0.196943998337,51,27.4,-40.4,-1.48,-8.0,18
0.196943998337,29,26.9,34.8,-3.34,-0.75,10
0.196943998337,3,45.2,0.6,-3.13,-6.0,1
0.196943998337,63,89.6,4.7,-3.23,-2.0,23
0.196943998337,41,28.2,20.7,-2.3,-8.0,15
0.247855901718,51,27.5,-42.7,-1.43,-8.0,18
0.247855901718,20,66.1,7.8,-3.3,-8.0,22
0.247855901718,43,49.8,15.8,-3.39,1.5,12
0.247855901718,16,75.6,1.1,-3.16,-1.5,20
0.247855901718,29,27.1,33.9,-3.36,-1.5,7
0.247855901718,1,63.0,6.9,-3.29,-1.0,23
0.247855901718,3,45.2,0.9,-3.14,-7.0,5
0.247855901718,41,28.4,20.1,-2.27,-8.0,12
0.296947002411,11,79.8,-0.8,-3.12,-0.25,13
0.296947002411,51,27.3,-44.3,-1.38,-8.0,18
0.296947002411,27,72.6,8.3,-3.31,-1.0,15
0.296947002411,20,65.6,6.4,-3.3,-8.0,23
0.296947002411,19,59.2,1.3,-3.19,1.75,13
0.296947002411,18,90.8,2.4,-3.21,-1.5,22
0.296947002411,31,15.6,-17.1,-2.64,-3.75,2
0.296947002411,43,49.5,14.0,-3.37,1.5,7
0.296947002411,34,21.2,-25.4,-2.27,-7.5,6
0.296947002411,1,63.9,7.3,-3.29,-1.25,20
0.296947002411,3,44.8,-1.1,-3.12,-8.0,10
0.296947002411,47,75.8,-0.7,-3.18,-2.75,14
0.296947002411,41,28.5,18.1,-2.19,-8.0,10
0.347914934158,27,72.7,6.9,-3.33,-3.75,17
0.347914934158,20,62.5,4.4,-3.27,-8.0,23
0.347914934158,55,24.5,-4.7,-3.05,-1.0,5
0.347914934158,34,20.0,-32.7,-1.97,-8.0,1
0.347914934158,1,65.8,5.4,-3.3,-2.75,25
0.347914934158,3,45.1,-1.7,-3.12,-8.0,4
0.347914934158,41,26.2,14.9,-2.13,-8.0,15
0.3979408741,26,89.6,6.5,-3.26,0.25,15
0.3979408741,20,65.4,5.4,-3.3,-8.0,19
0.3979408741,34,20.8,-29.2,-2.19,-8.0,1
0.3979408741,1,63.5,4.1,-3.27,-4.75,15
0.3979408741,41,25.9,15.7,-2.07,-8.0,18
0.447921991348,24,72.8,4.6,-3.31,-1.5,21
0.447921991348,26,90.1,5.9,-3.33,-0.5,20
0.447921991348,20,65.6,2.6,-3.29,-8.0,14
0.447921991348,42,80.5,6.0,-3.34,0.75,15
0.447921991348,43,47.1,15.7,-3.41,1.75,14
0.447921991348,1,71.0,5.2,-3.32,-4.75,19
0.447921991348,2,42.1,11.7,-3.38,2.25,8
0.447921991348,41,26.0,15.1,-2.01,-8.0,16
0.497939825058,24,72.2,3.4,-3.32,-4.0,18
0.497939825058,20,64.9,4.1,-3.28,-8.0,17
0.497939825058,45,86.5,1.7,-3.27,-0.5,20
0.497939825058,42,80.8,4.7,-3.33,-0.25,18
0.497939825058,1,70.0,3.2,-3.3,-6.5,19
0.497939825058,64,61.3,1.1,-3.27,-1.25,16
